,Availability,Basic Info,Bezel material,Bracelet color,Bracelet length,Bracelet material,Bracelet thickness,Bracelet/strap,Brand,Buckle width,Caliber,Case,Case diameter,Case material,Clasp,Clasp material,Code,Condition,Date,Dial,Dial numerals,Expected delivery,Functions,Gender,Glass,Listing number,Location,Lug width,Model,Movement,Movement/Caliber,Number of jewels,Payment Method,Power reserve,Reference number,Scope of delivery,Thickness,Water resistance,Year,name,price,url,Base caliber,Chronograph,Others,"Chronograph, Tachymeter","Date, Tachymeter","Date, GMT",Frequency,GMT
12932580.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),Date,Black,No numerals,"Nov 16, 2019 - Nov 25, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6UC0,"Malaysia, Kuala Lumpur",,Submariner Date,Automatic,3135,31,,48 h,16610LV,"No original box, no original papers",,30 ATM,Unknown,Rolex Submariner Date Kermit Y series ,17992,https://www.chrono24.com.au/rolex/12932580.htm,cal. 3135,,,,,,,
12932716.htm,Available now,Basic Info,,,,,,,Rolex,,Caliber,Case,,,,,27485,Very good (Worn with little to no signs of wear),Date,,,"Nov 16, 2019 - Nov 25, 2019",Functions,Men's watch/Unisex,Plexiglass,7P6Y49,"Germany, München",,Datejust,Automatic,,,Bank transfer,,1601,"Original box, original papers",,,1975,Rolex Datejust Ref. 1601 ,,https://www.chrono24.com.au/rolex/12932716.htm,,,Others,,,,,
12932271.htm,Available now,Basic Info,Platinum,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,"New (Brand new, without any signs of wear)",Date,Blue,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6LR7,"Spain, Barcelona",,Yacht-Master 40,Automatic,3135,31,Bank transfer,48 h,116622,"Original box, original papers",,10 ATM,2019,Rolex Yacht-Master 40 blue dial ,18423,https://www.chrono24.com.au/rolex/12932271.htm,,,,,,,,
12932703.htm,Available now,Basic Info,Yellow gold,Gold,,Crocodile skin,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Yellow gold,Fold clasp,Yellow gold,,Very good (Worn with little to no signs of wear),Date,Blue,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6XR0,"Italy, Milano",,Submariner Date,Automatic,3135,31,Bank transfer,48 h,16618,"No original box, no original papers",,30 ATM,1990 (Approximation),Rolex Submariner Date ,24838,https://www.chrono24.com.au/rolex/12932703.htm,,,,,,,,
12932391.htm,Available now,Basic Info,,Steel,200 mm,Steel,,Bracelet/strap,Rolex,,Caliber,Case,44 mm,Steel,Fold clasp,,195155,"Unworn (Mint condition, without signs of wear)",Date,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,,Sapphire Glass,7P6P37,"Germany, München",,Sea-Dweller 4000,Automatic,,,Bank transfer,,116600,"Original box, original papers",,,2019,Rolex Sea-Dweller Deepsea Ref. 116600 ,18719,https://www.chrono24.com.au/rolex/12932391.htm,,,,,,,,
12932693.htm,Available now,Basic Info,,,,Crocodile skin,,Bracelet/strap,Rolex,,Caliber,Case,,Yellow gold,,,,Very good (Worn with little to no signs of wear),,,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6XH3,"Italy, Milano",,Air King Precision,Automatic,,,Bank transfer,,5500,"No original box, no original papers",,,1964,Rolex Air King 9 carati Blu ,6497,https://www.chrono24.com.au/rolex/12932693.htm,,,,,,,,
12932679.htm,Available now,Basic Info,Yellow gold,,,Crocodile skin,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,White gold,Buckle,Yellow gold,,Very good (Worn with little to no signs of wear),Date,Silver,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Plexiglass,7P6X39,"Italy, Milano",,Day-Date 36,Automatic,1556,26,Bank transfer,48 h,1803,"No original box, no original papers",,10 ATM,1976,Rolex Day-Date 36 18k white gold rare ,15133,https://www.chrono24.com.au/rolex/12932679.htm,,,,,,,,
12932665.htm,Available now,Basic Info,Yellow gold,Brown,,Crocodile skin,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Yellow gold,Fold clasp,Yellow gold,,Very good (Worn with little to no signs of wear),,White,Arabic numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6WP8,"Italy, Milano",,Daytona,Automatic,4030,31,Bank transfer,72 h,16518,"Original box, original papers",,10 ATM,1993,Rolex Daytona Zenith Box Papers ,31089,https://www.chrono24.com.au/rolex/12932665.htm,,Chronograph,,,,,,
12932440.htm,Available now,Basic Info,,Silver,190 mm,,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,,,2.40501E+12,Good (Light signs of wear or scratches),,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,,7P6QG4,"Japan, 大阪市中央区",,GMT-Master II,Automatic,,,Bank transfer,,116710LN,"Original papers, no original box",14 mm,,Unknown,Rolex ロレックス ROLEX GMTマスター2 116710LN ランダム 自動巻 メンズ 腕時計 ウォッチ オートマチック 黒 ブラック ,18894,https://www.chrono24.com.au/rolex/12932440.htm,,,,,,,,GMT
12932640.htm,Available now,Basic Info,Yellow gold,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,Fold clasp,Gold/Steel,,"New (Brand new, without any signs of wear)",Date,Green,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6W02,"Spain, Barcelona",,Datejust,Automatic,3235,31,Bank transfer,70 h,126233,"Original box, original papers",,10 ATM,2019,Rolex Datejust green dial diamonds ,17929,https://www.chrono24.com.au/rolex/12932640.htm,,,,,,,,
12932725.htm,Available now,Basic Info,Ceramic,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Gold/Steel,,"New (Brand new, without any signs of wear)",Date,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6YD0,"Turkey, Istanbul",,Submariner Date,Automatic,3135,31,,48 h,116613LN,"Original box, original papers",,30 ATM,2019,Rolex Submariner Date ,20177,https://www.chrono24.com.au/rolex/12932725.htm,,,,,,,,
12932714.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6Y25,"France, Strasbourg",,GMT-Master II,Automatic,,,Bank transfer,,16710,"Original box, original papers",,10 ATM,2002,Rolex GMT-Master II ,20545,https://www.chrono24.com.au/rolex/12932714.htm,,,Others,,,"Date, GMT",,
12932589.htm,Available now,Basic Info,Rose gold,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,Fold clasp,Gold/Steel,,"New (Brand new, without any signs of wear)",Date,Gold,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6UL8,"Spain, Barcelona",,Datejust,Automatic,3135,31,Bank transfer,48 h,116231,"Original box, original papers",,10 ATM,2019,Rolex Datejust 10 diamonds ,17189,https://www.chrono24.com.au/rolex/12932589.htm,"3135, Manufacture Rolex",,,,,,,
12932579.htm,Available now,Basic Info,,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,,Steel,Fold clasp,Steel,,"New (Brand new, without any signs of wear)",,,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6UB5,"Hong Kong, Kowloon",40 mm  Size guide,GMT-Master II,Automatic,,,Bank transfer,,116710BLNR,"Original box, original papers",,,2019,Rolex 116710BLNR ,21906,https://www.chrono24.com.au/rolex/12932579.htm,,,,,,,,
12932592.htm,Available now,Basic Info,Ceramic,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,"New (Brand new, without any signs of wear)",Date,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6UO7,"Hong Kong, Kowloon",,GMT-Master II,Automatic,3285,31,Bank transfer,70 h,126710BLNR,"Original box, original papers",,10 ATM,2019,Rolex GMT-Master II ,21944,https://www.chrono24.com.au/rolex/12932592.htm,,,,,,,,
12932587.htm,Available now,Basic Info,Ceramic,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,"New (Brand new, without any signs of wear)",Date,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6UJ4,"Hong Kong, Kowloon",,GMT-Master II,Automatic,3285,31,Bank transfer,70 h,126710BLNR,"Original box, original papers",,10 ATM,2019,Rolex GMT-Master II ,21944,https://www.chrono24.com.au/rolex/12932587.htm,,,,,,,,
12932566.htm,Available now,Basic Info,,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,44 mm,Gold/Steel,Fold clasp,Gold/Steel,,"New (Brand new, without any signs of wear)",,White,No numerals,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,Sapphire Glass,7P6TY6,"Spain, Barcelona",,Yacht-Master II,Automatic,4161,42,Bank transfer,72 h,116681,"Original box, original papers",,10 ATM,2019,Rolex Yacht-Master II ,35695,https://www.chrono24.com.au/rolex/12932566.htm,,,,,,,,
12932548.htm,Available now,Basic Info,Yellow gold,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,Fold clasp,,10000049067,Very good (Worn with little to no signs of wear),Date,Champagne,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6TG4,"Germany, Stuttgart",,Datejust,Automatic,3135,,Bank transfer,,16233,"Original box, no original papers",11.8 mm,,1998,"Rolex Datejust no Hole Stahl Gelbgold Automatik Armband Jubilé 36mm Ref.16233 Vintage Bj.1998 BoxBeschreibung wie Neu mit Zertifikat über 9.300,-€ ",10017,https://www.chrono24.com.au/rolex/12932548.htm,,,Others,,,,,
12932519.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,,10000049557,Very good (Worn with little to no signs of wear),Date,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6SN7,"Germany, Stuttgart",,Sea-Dweller 4000,Automatic,3135,,Bank transfer,,116600,"Original box, original papers",15 mm,,2016,"Rolex Sea-Dweller 4000 Stahl Keramik Automatik 40mm Ref.116600 Vintage Bj.2016 Box&Service Pap. wie Neu mit Zertifikat über 15.500,-€ ",22929,https://www.chrono24.com.au/rolex/12932519.htm,,,Others,,,,,
12932521.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,10000049558,Very good (Worn with little to no signs of wear),,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6SP4,"Germany, Stuttgart",,GMT-Master II,Automatic,,,Bank transfer,,16710T,"Original box, original papers",12 mm,,2005,Rolex GMT Master II rot blau Pepsi no Hole Stahl Automatik Armband Oyster 40mm Ref.16710T Vintage Bj.2005 Box&Pap. LC EU Full Set mit Zertifikat über,23850,https://www.chrono24.com.au/rolex/12932521.htm,,,Others,,,"Date, GMT",,
12932990.htm,Available now,Basic Info,Ceramic,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,2238-CA,Very good (Worn with little to no signs of wear),Date,Green,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P75Q9,"Spain, Marbella",,Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LV,"Original box, original papers",,30 ATM,2014,Rolex Submariner Date 116610LV ,23851,https://www.chrono24.com.au/rolex/12932990.htm,cal. 3135,,,,,,,
12932495.htm,Available now,Basic Info,Steel,Black,,Leather,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,White gold,Fold clasp,White Gold,10000040955,Very good (Worn with little to no signs of wear),,Mother of pearl,Arabic numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6RZ9,"Germany, Stuttgart",19 mm  Size guide,Daytona,Automatic,4030,,Bank transfer,,16519,"Original box, no original papers",12.5 mm,,1997,Rolex Daytona Zenith 18kt Weißgold Perlmutt Automatik Chronograph Armband Leder 40mm Ref.16519 Vintage Bj.1997 Box&Beschreibung wie Neu mit Zertifika,32897,https://www.chrono24.com.au/rolex/12932495.htm,,,Others,"Chronograph, Tachymeter",,,,
12932499.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,,10000048923,Good (Light signs of wear or scratches),,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Plexiglass,7P6S37,"Germany, Stuttgart",,GMT-Master,Automatic,3075,,Bank transfer,,16750,"Original box, no original papers",11.8 mm,,1981,Rolex GMT Master rot blau Pepsi Matte Dial Mark II Stahl Automatik Armband Oyster 40mm open 6/9 Ref.16750 Vintage Bj.1981 Box&Beschreibung mit Zertif,24672,https://www.chrono24.com.au/rolex/12932499.htm,,,Others,,,"Date, GMT",,
12932507.htm,,Basic Info,,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Gold/Steel,Fold clasp,,10000048310,Very good (Worn with little to no signs of wear),Date,Black,,,Functions,Men's watch/Unisex,Sapphire Glass,7P6SB0,"Germany, Stuttgart",,Submariner Date,Automatic,3135,,Bank transfer,,16613T,"Original box, original papers",12.5 mm,,2006,"Rolex Submariner Date no Hole Stahl Gelbgold Automatik 40mm Ref.16613T Vintage Bj.2006 Box&Pap. LC EU Full Set mit Zertifikat über 12.250,-€ ",16943,https://www.chrono24.com.au/rolex/12932507.htm,,,Others,,,,28.800 A/h,
12933063.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,Plexiglass,7P77R5,"Italy, Isola della Scala",,Submariner (No Date),Automatic,1520,26,Bank transfer,48 h,5513,"Original box, original papers",,20 ATM,1987,Rolex Submariner (No Date) Very Rare serial. R. sold 1989 ,25990,https://www.chrono24.com.au/rolex/12933063.htm,,,,,,,,
12932720.htm,Available now,Basic Info,,,,,,,Rolex,,Caliber,Case,,Steel,,,27575,Very good (Worn with little to no signs of wear),,,,"Nov 16, 2019 - Nov 25, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6Y80,"Germany, München",,Daytona,Automatic,4130,,Bank transfer,,116520,"Original box, original papers",,,2008,Rolex Daytona Cosmograph Ref. 116520 ,29280,https://www.chrono24.com.au/rolex/12932720.htm,,Chronograph,Others,,,,,
12932493.htm,Available now,Basic Info,,Gold/Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,34 mm,Gold/Steel,Fold clasp,,10000046645,Very good (Worn with little to no signs of wear),,Champagne,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,Plexiglass,7P6RX5,"Germany, Stuttgart",,Oyster Perpetual 34,Automatic,1030,,Bank transfer,,6564,"Original box, no original papers",11 mm,,1961,"Rolex Oyster Perpetual Stahl Gelbgold Automatik Armband Oyster 34mm Ref.6564 Vintage Bj.1961 Box&Beschreibung mit Zertifikat über 7.500,-€ ",6479,https://www.chrono24.com.au/rolex/12932493.htm,,,Others,,,,,
12932534.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,10000048951,Very good (Worn with little to no signs of wear),,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6T23,"Germany, Stuttgart",,Daytona,Automatic,4130,,Bank transfer,,116520,"Original box, no original papers",12.3 mm,,2005,"Rolex Daytona Stahl Automatik Chronograph Armband Oyster 40mm Ref.116520 Vintage Bj.2005 Box&Beschreibung mit Zertifikat über 22.500,-€ ",31903,https://www.chrono24.com.au/rolex/12932534.htm,,,Others,"Chronograph, Tachymeter",,,,
12932490.htm,Available now,Basic Info,,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,Fold clasp,,10000047521,"Unworn (Mint condition, without signs of wear)",Date,Mother of pearl,Roman numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6RU9,"Germany, Stuttgart",,Datejust,Automatic,3135,,Bank transfer,,116243,"Original box, original papers",11.8 mm,10 ATM,Unknown,Rolex Datejust Stahl Gelbgold Diamanten Perlmutt Automatik Armband Jubilé 36mm Ref.116243 Vintage Box&Pap. LC 100 Full Set Ungetragen verklebt mit Ze,29574,https://www.chrono24.com.au/rolex/12932490.htm,,,Others,,,,,
12932488.htm,Available now,Basic Info,Rose gold,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Gold/Steel,Fold clasp,Gold/Steel,5796939,"Unworn (Mint condition, without signs of wear)",Date,Brown,No numerals,"Nov 16, 2019 - Nov 25, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6RS2,"Japan, Osaka / Tokyo / Kobe / Nagoya",,Yacht-Master 40,Automatic,3135,31,Bank transfer,48 h,116621,"Original box, original papers",,10 ATM,2019,"Rolex Yacht-Master Chocolate Dial K18PG Steel 40MM ""Random Series"" ",18950,https://www.chrono24.com.au/rolex/12932488.htm,,,Others,,,,28800 A/h,
12932461.htm,Available now,Basic Info,,,165 mm,,,Bracelet/strap,Rolex,,Caliber,Case,28 mm,Gold/Steel,,,2.405E+12,Good (Light signs of wear or scratches),,Brown,,"Nov 30, 2019 - Dec 12, 2019",,Women's watch,,7P6R12,"Japan, 大阪市中央区",,Lady-Datejust,Automatic,,,Bank transfer,,179171G,"Original box, original papers",11 mm,,Unknown,Rolex ロレックス ROLEX／デイトジャスト 279171G K18PGxSS 純正ダイヤ ランダム番 ブラウン 茶 自動巻 レディース ウォッチ 腕時計 ピンクゴールド コンビ ,15860,https://www.chrono24.com.au/rolex/12932461.htm,,,,,,,,
12932460.htm,Available now,Basic Info,,,165 mm,,,Bracelet/strap,Rolex,,Caliber,Case,17 mm,White gold,,,2.40501E+12,"Incomplete (Components missing, non-functional)",,,,"Nov 30, 2019 - Dec 12, 2019",,Women's watch,,7P6R00,"Japan, 大阪市中央区",,,Manual winding,,,Bank transfer,,,"No original box, no original papers",6 mm,,Unknown,Rolex ロレックス ROLEX 腕時計 オーキッド プレシジョン 手巻 アンティーク レディース K18WG無垢 2405010002705 ,3778,https://www.chrono24.com.au/rolex/12932460.htm,,,,,,,,
12933020.htm,Available now,Basic Info,,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,R-5526,Very good (Worn with little to no signs of wear),,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,,Sapphire Glass,7P76K7,"Germany, Köln",,Daytona,Automatic,,,Bank transfer,,116520,"Original box, original papers",,,2016,"Rolex Oyster Perpetual Cosmograph Daytona ""Chromalight"" Ref. 116520 ",31994,https://www.chrono24.com.au/rolex/12933020.htm,,,Others,"Chronograph, Tachymeter",,,,
12932434.htm,Available now,Basic Info,,,190 mm,,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,,,2.405E+12,Fair (Obvious signs of wear or scratches),,,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6QA9,"Japan, 大阪市中央区",,Datejust,Automatic,,,Bank transfer,,1601,"No original box, no original papers",12 mm,,Unknown,Rolex ロレックス ROLEX デイトジャスト 時計 1601 2番 自動巻 メンズ K18WGxSS製 2405001155939 OH済 ,4185,https://www.chrono24.com.au/rolex/12932434.htm,,,,,,,,
12933244.htm,Available now,Basic Info,Ceramic,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P7CS9,"Italy, rimini",,Daytona,Automatic,4130,44,Bank transfer,72 h,116500LN,"Original box, original papers",,10 ATM,2016,Rolex Daytona ,36846,https://www.chrono24.com.au/rolex/12933244.htm,Cal.4130,Chronograph,,,,,,
12932422.htm,Available now,Basic Info,,Silver,,,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,,,2.405E+12,Good (Light signs of wear or scratches),,Blue,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6PY2,"Japan, 大阪市中央区",,Datejust,Automatic,,,Bank transfer,,16234G,"Original papers, no original box",12 mm,,Unknown,Rolex ロレックス ROLEX デイトジャスト 16234G U番 ネイビー 自動巻 OH済 K18WGxSS製 純正ダイヤ メンズ 腕時計 ウォッチ ホワイトゴールド コンビ ,8307,https://www.chrono24.com.au/rolex/12932422.htm,,,,,,,,
12932421.htm,Available now,Basic Info,,Silver,200 mm,,,Bracelet/strap,Rolex,,Caliber,Case,41 mm,Gold/Steel,,,2.405E+12,Very good (Worn with little to no signs of wear),,Blue,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6PX0,"Japan, 大阪市中央区",,Datejust,Automatic,,,Bank transfer,,126334G,"Original box, original papers",13 mm,,Unknown,Rolex ロレックス ROLEX デイトジャスト41 126334G 純正ダイヤ ランダム 未使用 K18WGｘSS製 自動巻 ネイビー メンズ 新品 ウォッチ 腕時計 紺 10P ,16313,https://www.chrono24.com.au/rolex/12932421.htm,,,,,,,,
12932417.htm,Available now,Basic Info,,,165 mm,,,Bracelet/strap,Rolex,,Caliber,Case,26 mm,Gold/Steel,,,2.405E+12,Good (Light signs of wear or scratches),,Gold,,"Nov 30, 2019 - Dec 12, 2019",,Women's watch,,7P6PT9,"Japan, 大阪市中央区",,Lady-Datejust,Automatic,,,Bank transfer,,179173,"Original papers, no original box",11.5 mm,,Unknown,Rolex ロレックス ROLEX デイトジャスト 179173 F番 自動巻 OH済 K18YGxSS レディース バー文字 イエローゴールド コンビ ,7854,https://www.chrono24.com.au/rolex/12932417.htm,,,,,,,,
12932416.htm,Available now,Basic Info,,,170 mm,,,Bracelet/strap,Rolex,,Caliber,Case,30 mm,Gold/Steel,,,2.405E+12,Good (Light signs of wear or scratches),,Gold,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6PS7,"Japan, 大阪市中央区",,,Automatic,,,Bank transfer,,,"Original papers, no original box",11 mm,,Unknown,Rolex ロレックス ROLEX デイトジャスト 68273 K18YGxSS製 R番 自動巻 ボーイズ 腕時計 ウォッチ コンビ イエローゴールド バー メンズ レディース ,6952,https://www.chrono24.com.au/rolex/12932416.htm,,,,,,,,
12932410.htm,Available now,Basic Info,,,190 mm,,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,,,,2.40501E+12,Good (Light signs of wear or scratches),,,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6PM5,"Japan, 大阪市中央区",,Day-Date,Automatic,,,Bank transfer,,18946A,"Original box, original papers",12 mm,,Unknown,Rolex ロレックス ROLEX デイデイト 時計 18946A P番 自動巻 メンズPt950無垢 純正ダイヤ パールマスター 2405010010847 ,79355,https://www.chrono24.com.au/rolex/12932410.htm,,,,,,,,
12932407.htm,Available now,Basic Info,,,180 mm,,,Bracelet/strap,Rolex,,Caliber,Case,34 mm,Steel,,,2.405E+12,Fair (Obvious signs of wear or scratches),,Pink,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6PJ6,"Japan, 大阪市中央区",,Air King Precision,Automatic,,,Bank transfer,,14010,"Original papers, no original box",12 mm,,Unknown,Rolex ロレックス ROLEX エアキング 時計 14010 U番 メンズ 自動巻 2405001275163 ,5894,https://www.chrono24.com.au/rolex/12932407.htm,,,,,,,,
12932403.htm,Available now,Basic Info,,,190 mm,,,Bracelet/strap,Rolex,,Caliber,Case,39 mm,Steel,,,2.405E+12,"Incomplete (Components missing, non-functional)",,,,"Nov 30, 2019 - Dec 12, 2019",,Men's watch/Unisex,,7P6PF8,"Japan, 大阪市中央区",,Submariner Date,Automatic,,,Bank transfer,,1680,"Original box, no original papers",14 mm,,Unknown,Rolex ロレックス ROLEX サブマリーナ 時計 1680 赤サブ マーク4 5番 自動巻 メンズ 2405000988781 ,37032,https://www.chrono24.com.au/rolex/12932403.htm,,,,,,,,
12932394.htm,Available now,Basic Info,White gold,Steel,190 mm,Steel,,Bracelet/strap,Rolex,,Caliber,Case,41 mm,,Fold clasp,,196226,Very good (Worn with little to no signs of wear),Date,Silver,,"Nov 30, 2019 - Dec 12, 2019",Functions,,Sapphire Glass,7P6P63,"Germany, München",,Datejust II,Automatic,,,Bank transfer,,116334,"No original box, no original papers",,,Unknown,Rolex Datejust 41mm Ref. 116334 ,11810,https://www.chrono24.com.au/rolex/12932394.htm,,,,,,,,
12932393.htm,Available now,Basic Info,,Steel,155 mm,Steel,,Bracelet/strap,Rolex,,Caliber,Case,31 mm,Gold/Steel,Fold clasp,,196216,Very good (Worn with little to no signs of wear),Date,Black,,"Nov 30, 2019 - Dec 12, 2019",Functions,,,7P6P51,"Germany, München",,Lady-Datejust,Automatic,,,Bank transfer,,178241,"Original box, original papers",,,2007,Rolex Oyster Perpetual Datejust 31mm Edelstahl/18K Roségold Ref. 178241 ,13126,https://www.chrono24.com.au/rolex/12932393.htm,,,,,,,,
12932829.htm,Available now,Basic Info,,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,,,21093,Pre-owned,,White,,"Nov 26, 2019 - Dec 4, 2019",,,,7P7192,"Belgium, Bruxelles",,Daytona,Automatic,,,Bank transfer,,,"Original box, original papers",,,1997,Rolex Daytona Zenith 16520 White Dial Full Set ,38574,https://www.chrono24.com.au/rolex/12932829.htm,,,,,,,,
12932389.htm,Available now,Basic Info,,Steel,180 mm,Steel,,Bracelet/strap,Rolex,,Caliber,Case,34 mm,Steel,Fold clasp,,193474,Very good (Worn with little to no signs of wear),Date,Silver,,"Nov 30, 2019 - Dec 12, 2019",Functions,,Plexiglass,7P6P10,"Germany, München",,Oyster Precision,Manual winding,,,Bank transfer,,6694,"No original box, no original papers",,,1964,Rolex Oysterdate Precision Ref. 6694 ,4572,https://www.chrono24.com.au/rolex/12932389.htm,,,,,,,,
12932388.htm,Available now,Basic Info,,,185 mm,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,Fold clasp,Steel,196209,Very good (Worn with little to no signs of wear),Date,Gold,,"Nov 30, 2019 - Dec 12, 2019",Functions,,,7P6P08,"Germany, München",,Datejust,Automatic,,,Bank transfer,,16013,"No original box, no original papers",,,1985,Rolex Oyster Perpetual Datejust 36mm Edelstahl/18 K Gelbgold Ref. 16013 ,6217,https://www.chrono24.com.au/rolex/12932388.htm,,,,,,,,
